key,exists_p1,path_p1,collision_p1,exists_p2,path_p2,collision_p2,same,status,diff_file,diff_text
compareGrainsFile.py,False,,,True,compareGrainsFile.py,,,only_p2,,
compareHomogenizeStress.py,True,compareHomogenizeStress.py,,True,compareHomogenizeStress.py,,True,same,,
compareStressPairs.py,False,,,True,compareStressPairs.py,,,only_p2,,
deleteIntermediateFile.py,False,,,True,deleteIntermediateFile.py,,,only_p2,,
extractStressPlot.py,True,extractStressPlot.py,,True,extractStressPlot.py,,False,diff,../output/diffs/extractStressPlot.py.diff,"--- /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/analysis/extractStressPlot.py
+++ /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/simulator/nagasu/extractStressPlot.py
@@ -28,11 +28,20 @@
         self.camera_y_pos_label = QtWidgets.QLabel(""cp: "")

         self.camera_y_pos_slider = self.create_slider(QtCore.Qt.Vertical, 0, 100, 50, self.update_camera_pos)

 

+        self.plot_y_move_label = QtWidgets.QLabel(""axis y: "")

+        self.plot_y_move_slider = self.create_slider(QtCore.Qt.Vertical, -10000, 5000, 0, self.update_axis_y)

+

         self.camera_x_pos_label = QtWidgets.QLabel(""camera pos: "")

         self.camera_x_pos_slider = self.create_slider(QtCore.Qt.Horizontal, 0, 100, 50, self.update_camera_pos)

 

+        self.plot_x_move_label = QtWidgets.QLabel(""axis x: "")

+        self.plot_x_move_slider = self.create_slider(QtCore.Qt.Horizontal, -10000, 5000, 0, self.update_axis_x)

+

         self.camera_zoom_label = QtWidgets.QLabel(""camera zoom: "")

         self.camera_zoom_slider = self.create_slider(QtCore.Qt.Horizontal, 0, 100, 50, self.update_camera_pos)

+

+        self.plot_zoom_label = QtWidgets.QLabel(""plot zoom: "")

+        self.plot_zoom_slider = self.create_slider(QtCore.Qt.Horizontal, 0, 100, 50, self.update_plot_zoom)

 

         self.dt_plot_label = QtWidgets.QLabel(""t: "")

         self.dt_plot_slider = self.create_slider(QtCore.Qt.Horizontal, 0, 1000, 0, self.update_dt)

@@ -71,10 +80,18 @@
         camera_y_pos_box.addWidget(self.camera_y_pos_label, alignment=QtCore.Qt.Alignment())

         camera_y_pos_box.addWidget(self.camera_y_pos_slider, alignment=QtCore.Qt.Alignment())

 

+        plot_move_y_pos_box = QtWidgets.QVBoxLayout()

+        plot_move_y_pos_box.addWidget(self.plot_y_move_label, alignment=QtCore.Qt.Alignment())

+        plot_move_y_pos_box.addWidget(self.plot_y_move_slider, alignment=QtCore.Qt.Alignment())

+

         dt_plot_box = QtWidgets.QHBoxLayout()

         dt_plot_box.addWidget(self.dt_plot_label, alignment=QtCore.Qt.Alignment())

         dt_plot_box.addWidget(self.dt_plot_slider, alignment=QtCore.Qt.Alignment())

 

+        plot_move_x_pos_box = QtWidgets.QHBoxLayout()

+        plot_move_x_pos_box.addWidget(self.plot_x_move_label, alignment=QtCore.Qt.Alignment())

+        plot_move_x_pos_box.addWidget(self.plot_x_move_slider, alignment=QtCore.Qt.Alignment())

+

         plot_box = QtWidgets.QVBoxLayout()

         plot_box.addWidget(self.stress_plot_canvas, alignment=QtCore.Qt.Alignment())

         plot_box.addLayout(dt_plot_box)

@@ -89,20 +106,24 @@
 

         upper_box = QtWidgets.QHBoxLayout()

         upper_box.addLayout(plot_box)

+        upper_box.addLayout(plot_move_y_pos_box)

         upper_box.addLayout(gl_box)

         upper_box.addLayout(camera_y_pos_box)

 

         label_box = QtWidgets.QVBoxLayout()

         label_box.addWidget(self.camera_x_pos_label, alignment=QtCore.Qt.Alignment())

         label_box.addWidget(self.camera_zoom_label, alignment=QtCore.Qt.Alignment())

+        label_box.addWidget(self.plot_zoom_label, alignment=QtCore.Qt.Alignment())

 

         slider_box = QtWidgets.QVBoxLayout()

         slider_box.addWidget(self.camera_x_pos_slider, alignment=QtCore.Qt.Alignment())

         slider_box.addWidget(self.camera_zoom_slider, alignment=QtCore.Qt.Alignment())

+        slider_box.addWidget(self.plot_zoom_slider, alignment=QtCore.Qt.Alignment())

 

         slider_label_box = QtWidgets.QHBoxLayout()

         slider_label_box.addLayout(label_box)

         slider_label_box.addLayout(slider_box)

+        slider_label_box.addLayout(plot_move_x_pos_box)

 

         checkboxes = QtWidgets.QHBoxLayout()

         checkboxes.addWidget(self.grains_checkbox, alignment=QtCore.Qt.Alignment())

@@ -236,6 +257,11 @@
         zoom_level = math.pow(2.0, (self.camera_zoom_slider.value() - 50.0) * side_mag_level / 50.0)

         self.gl.set_view_info(x_pos, y_pos, zoom_level)

 

+    def update_plot_zoom(self):

+        side_mag_level = 5  # 2^5 = 32x magnification

+        zoom_level = math.pow(2.0, (self.plot_zoom_slider.value() - 50.0) * side_mag_level / 50.0)

+        self.stress_plot_canvas.set_zoom_plot(zoom_level)

+

     def check_box_changed(self):

         self.gl.toggle_draw(self.grains_checkbox.isChecked(), self.selected_cell_checkbox.isChecked(),

                             self.grid_checkbox.isChecked())

@@ -269,13 +295,13 @@
         # self.scene_fn = ""Save/serialized_forces.h5""

 

         # プロット用応力データ

-        stress_fn = ""simulated_data/11/compressed_stress.h5""

+        stress_fn = ""Save_circle12_flow/compressed_stress.h5""

 

         # 描画用粒子データ

-        self.scene_fn = ""simulated_data/11/element_data_0.500000.h5""

+        self.scene_fn = ""Rolling_circle12_flow/element_data.h5""

 

         # テンプレートファイル

-        self.template_fn = ""simulated_data/11/square_merge_template.h5""

+        self.template_fn = ""Save_circle12_flow/circle12_flow_template.h5""

 

         self.all_stress_pair_data.load(stress_fn)

         self.stress_plot_canvas.set_all_stress_pair_data(self.all_stress_pair_data)

@@ -284,6 +310,15 @@
         self.init_dt_slider()

         self.set_plot_mode_label()

 

+    def update_axis_x(self):

+        self.x_move = float(self.plot_x_move_slider.value())

+        self.stress_plot_canvas.set_move_plot_range_x(self.x_move)

+

+    def update_axis_y(self):

+        self.y_move = float(self.plot_y_move_slider.value())

+        self.stress_plot_canvas.set_move_plot_range_y(self.y_move)

+

+

     def plot_per_timestep(self):

         self.stress_plot_canvas.plot_data_per_timestep()

         self.set_plot_mode_label()
"
forceCalculatorMPM.py,True,forceCalculatorMPM.py,,True,forceCalculatorMPM.py,,True,same,,
forceh5.py,True,forceh5.py,,True,forceh5.py,,True,same,,
geninitialcolumn.py,False,,,True,geninitialcolumn.py,,,only_p2,,
grainRender.py,False,,,True,grainRender.py,,,only_p2,,
grainViewer.py,False,,,True,grainViewer.py,,,only_p2,,
grainh5.py,True,grainh5.py,,True,grainh5.py,,True,same,,
homogenizationh5.py,True,homogenizationh5.py,,True,homogenizationh5.py,,True,same,,
homogenizer.py,True,homogenizer.py,,True,homogenizer.py,,True,same,,
homogenizerti.py,False,,,True,homogenizerti.py,,,only_p2,,
initPiledSim.py,False,,,True,initPiledSim.py,,,only_p2,,
initResumefn.py,True,initResumefn.py,,True,initResumefn.py,,False,diff,../output/diffs/initResumefn.py.diff,"--- /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/analysis/initResumefn.py
+++ /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/simulator/nagasu/initResumefn.py
@@ -1,6 +1,8 @@
 import xml.etree.ElementTree as ET 

 import sys

 from progressh5 import *

+import pathlib

+import os

 

 

 def main():

@@ -60,6 +62,26 @@
     resume_tree.write(resume_xml_fn)

     tree.write(homogenize_stress_fn)

 

+    #処理時間計測のためのファイル作成

+    resume_MPM_xml_fn = root[2].attrib[""resume_MPM_fn""]

+    resume_MPM_tree = ET.parse(resume_MPM_xml_fn)

+    resume_MPM_root = resume_MPM_tree.getroot()

+    if os.path.isfile(root[6].attrib[""processing_time""]):

+        os.remove(root[6].attrib[""processing_time""])

+    if os.path.isfile(resume_root[4].attrib[""processing_time""]):

+        os.remove(resume_root[4].attrib[""processing_time""])

+    if os.path.isfile(resume_MPM_root[6].attrib[""processing_time""]):

+        os.remove(resume_MPM_root[6].attrib[""processing_time""])

+    if os.path.isfile(root[6].attrib[""homogenize_time""]):

+        os.remove(root[6].attrib[""homogenize_time""])

+    if root[6].attrib[""mode""] == ""11"":

+        pathlib.Path(root[6].attrib[""processing_time""]).touch()

+        pathlib.Path(resume_root[4].attrib[""processing_time""]).touch()

+        pathlib.Path(resume_MPM_root[6].attrib[""processing_time""]).touch()

+        pathlib.Path(root[6].attrib[""homogenize_time""]).touch()

+

+

+

 

 if __name__ == ""__main__"":

     main()
"
initSimulationEnv.py,False,,,True,initSimulationEnv.py,,,only_p2,,
interpolateMPMStress.py,True,interpolateMPMStress.py,,True,interpolateMPMStress.py,,False,diff,../output/diffs/interpolateMPMStress.py.diff,"--- /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/analysis/interpolateMPMStress.py
+++ /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/simulator/nagasu/interpolateMPMStress.py
@@ -1,14 +1,10 @@
 import numpy as np

-from OpenGL.GL import *

-from OpenGL.GLU import *

-from OpenGL.GLUT import *

-from PyQt5 import QtCore, QtGui, QtWidgets

-from PyQt5.QtOpenGL import *

 import math

 import copy

 from grainh5 import *

 from forceh5 import *

 from homogenizationh5 import *

+import ctypes

 class interpolateMPMStress:

     def __init__(self,  h, particle_data, grid_start):

         self.resolution = np.zeros(2, dtype=ctypes.c_int)
"
makeSleepFlag.py,False,,,True,makeSleepFlag.py,,,only_p2,,
makefinishflag.py,False,,,True,makefinishflag.py,,,only_p2,,
nagasu_loop.py,False,,,True,nagasu_loop.py,,,only_p2,,
particlehomogenizationh5.py,True,particlehomogenizationh5.py,,True,particlehomogenizationh5.py,,True,same,,
plotGrainsPosition.py,False,,,True,plotGrainsPosition.py,,,only_p2,,
plotParticleStress.py,True,plotParticleStress.py,,True,plotParticleStress.py,,True,same,,
progressh5.py,True,progressh5.py,,True,progressh5.py,,False,diff,../output/diffs/progressh5.py.diff,
qt_gl_widget2.py,True,qt_gl_widget2.py,,True,qt_gl_widget2.py,,False,diff,../output/diffs/qt_gl_widget2.py.diff,"--- /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/analysis/qt_gl_widget2.py
+++ /Users/shotaro/DevHub/CG/generalized-hybrid-grains/src/python/simulator/nagasu/qt_gl_widget2.py
@@ -207,7 +207,7 @@
         self.inner_height = h

 

     def initializeGL(self):

-        glutInitDisplayMode(GLUT_RGBA | GLUT_DOUBLE | GLUT_DEPTH)

+        #glutInitDisplayMode(GLUT_RGBA | GLUT_DOUBLE | GLUT_DEPTH)

         glEnable(GL_BLEND)

         glBlendFunc(GL_SRC_ALPHA, GL_ONE_MINUS_SRC_ALPHA)

         glClearColor(1.0, 1.0, 1.0, 1.0)
"
